trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-182.06547920919326,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",30,10,-63.4845500958326,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.985}",30,0,-120.68610998729002,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-154.81595661917777,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-72.76200263673319,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-109.78906842541677,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-115.86644827321031,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",30,0,-106.36917208617436,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,8,-18.8892856446626,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.95}",35,0,-210.78103538607672,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-84.77012967576123,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-161.00720872803572,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,15,-18.157229638142695,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-226.80342316478095,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,1,-82.92474040253313,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-191.11916145819728,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",35,0,-182.06680114811545,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-214.34467501303024,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-165.15096444114252,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-151.0249784785154,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",25,10,-64.50427506744772,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-59.70835882713169,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",30,0,-78.29147622172806,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-63.06475162946797,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,12,-7.763688688272976,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,5,-65.23272201264243,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-144.30937248404422,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-246.44353037720316,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-42.24116836062188,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-144.54640987738247,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",30,0,-103.47288093998554,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-91.46609783720649,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",30,0,-155.57761626400188,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-25.32356902595668,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-125.41804645275802,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,5,-150.2621488287442,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-58.16507713913272,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,9,-66.32626240583687,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-107.70081599360263,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-154.35811784955925,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",1
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",30,0,-120.8421354445795,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-133.2803395033833,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-53.34659491608552,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-144.42698621698057,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-179.01385527255457,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,10,-2.565087469955989,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",30,0,-143.41515667203797,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-86.70148961014894,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-171.01287792199616,"{0: 5, 1: 5, 2: 7, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,-57.425191611320805,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,3,-33.22604739117042,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,14,-23.859471958396675,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-58.24959925351205,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,11,-67.34461699658222,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-128.7091654536944,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-107.50900693143151,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",30,0,-111.9872416144052,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-66.63649193996469,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,-101.78591479462499,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-209.4245074740032,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,2,6.304091669207349,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-51.154916471232504,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,-187.9750955899454,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-84.00063928327458,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,9,-45.53375725906623,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-93.54459025254931,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,13,-11.209159863862567,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,7,-67.25472638194375,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",30,3,-154.22982154072034,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 3}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-47.164330074883004,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,7,-76.74042447924363,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-136.57150035655775,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,12,-2.967503708477593,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-75.71884657075925,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",30,7,-86.29846585618394,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-102.74546921833853,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
