trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-274.1180556081697,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,11,-31.838113036025792,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-130.846448298092,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-152.96788050196682,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-62.482260248654335,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-132.8742907230857,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-190.51395368391127,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",30,0,-178.0643091318444,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-99.35358439909498,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-28.800276779354135,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-156.86061827276274,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-174.29341442165054,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-144.524577437992,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-134.6500581518747,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-139.06579206310357,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-88.1298662329008,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-150.54277443359481,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,5,-135.1957096645835,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-118.5297198966286,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-116.39037845228937,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-101.91286840878657,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-108.94773277110781,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
