trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.98742109049286,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.33932691947284,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.7416049515347,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.90679599131361,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.2820713050092,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.09236270388105,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.9038292249259,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.33174722461676,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.00943656297632,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.05621423852492,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.6216912863726,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.0640305565651,"{0: 17, 1: 8, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.7583492719352,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.67597925359827,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.61909675876394,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.50605065962748,"{0: 13, 1: 7, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.95906021110662,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.28940133851867,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-86.79637290237922,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.65212018462942,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.69169957890442,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-176.410128036909,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.08733986162146,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.74293019330567,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-157.23663996744463,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-44.0523714342967,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.33142974261713,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.665255500852375,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.11267553434016,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.98892837530413,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
